CurrentURL,NewAbsoluteUri,NewURL
/export-opportunities/opportunities/canon-lbp861c-toner-cartridges-waste-toner-boxes-i-toner-cartridge-black-high-capacity-720-ii-toner-cartridge-yellow-high-capacity-275-iii-toner-cartridge-magenta-high-capacity-260-iv-toner-cartridge-cyan-high-capacity-2/,https://business.gov.uk/export-opportunities/opportunities/canon-lbp861c-toner-cartridges-waste-toner-boxes-i-toner-cartridge-black-high-capacity-720-ii-toner-cartridge-yellow-high-capacity-275-iii-toner-cartridge-magenta-high-capacity-260-iv-toner-cartridge-cyan-high-capacity-2/,/export-opportunities/opportunities/canon-lbp861c-toner-cartridges-waste-toner-boxes-i-toner-cartridge-black-high-capacity-720-ii-toner-cartridge-yellow-high-capacity-275-iii-toner-cartridge-magenta-high-capacity-260-iv-toner-cartridge-cyan-high-capacity-2/
/export-opportunities/opportunities/ccb-c-vr-w-298-a-improvement-of-azgar-phulgaon-road-chiloin-nangalkot-r-h-sahapur-bazar-via-ismail-gazi-s-house-sahapur-shaheed-s-shop-road-at-ch-00-777m-road-id-no-419724121-b-i-improvement-of-krishnapur-m,https://business.gov.uk/export-opportunities/opportunities/ccb-c-vr-w-298-a-improvement-of-azgar-phulgaon-road-chiloin-nangalkot-r-h-sahapur-bazar-via-ismail-gazi-s-house-sahapur-shaheed-s-shop-road-at-ch-00-777m-road-id-no-419724121-b-i-improvement-of-krishnapur-m/,/export-opportunities/opportunities/ccb-c-vr-w-298-a-improvement-of-azgar-phulgaon-road-chiloin-nangalkot-r-h-sahapur-bazar-via-ismail-gazi-s-house-sahapur-shaheed-s-shop-road-at-ch-00-777m-road-id-no-419724121-b-i-improvement-of-krishnapur-m
/export-opportunities/opportunities/centlec-soc-ltd-hereafter-referred-to-as-centlec-a-municipal-entity-distributing-electricity-in-mangaung-invites-bids-for-the-manufacture-supply-delivery-erection-testing-commissioning-of-40m-rylo-type-high-mast-lights-and-20m-solar-mast/,https://business.gov.uk/export-opportunities/opportunities/centlec-soc-ltd-hereafter-referred-to-as-centlec-a-municipal-entity-distributing-electricity-in-mangaung-invites-bids-for-the-manufacture-supply-delivery-erection-testing-commissioning-of-40m-rylo-type-high-mast-lights-and-20m-solar-mast/,/export-opportunities/opportunities/centlec-soc-ltd-hereafter-referred-to-as-centlec-a-municipal-entity-distributing-electricity-in-mangaung-invites-bids-for-the-manufacture-supply-delivery-erection-testing-commissioning-of-40m-rylo-type-high-mast-lights-and-20m-solar-mast/
/export-opportunities/opportunities/chateau-de-versailles-project-management-assistance-for-environmental-monitoring-of-the-cour-de-marbre-and-corps-central-nord-operations-at-the-chateau-de-versailles-all-phases-combined-during-the-construction-phase,https://business.gov.uk/export-opportunities/opportunities/chateau-de-versailles-project-management-assistance-for-environmental-monitoring-of-the-cour-de-marbre-and-corps-central-nord-operations-at-the-chateau-de-versailles-all-phases-combined-during-the-construction-phase/,/export-opportunities/opportunities/chateau-de-versailles-project-management-assistance-for-environmental-monitoring-of-the-cour-de-marbre-and-corps-central-nord-operations-at-the-chateau-de-versailles-all-phases-combined-during-the-construction-phase
/export-opportunities/opportunities/civil-engineering-services-earthworks-and-disposal-of-soil-and-subsequent-construction-of-base-layers-with-appropriate-compaction-simultaneous-construction-of-concrete-foundations-and-installation-of-kerbs-and-drainage-channels,https://business.gov.uk/export-opportunities/opportunities/civil-engineering-services-earthworks-and-disposal-of-soil-and-subsequent-construction-of-base-layers-with-appropriate-compaction-simultaneous-construction-of-concrete-foundations-and-installation-of-kerbs-and-drainage-channels/,/export-opportunities/opportunities/civil-engineering-services-earthworks-and-disposal-of-soil-and-subsequent-construction-of-base-layers-with-appropriate-compaction-simultaneous-construction-of-concrete-foundations-and-installation-of-kerbs-and-drainage-channels
/export-opportunities/opportunities/civil-engineering-work-demolition-of-a-10-m-collecting-pit-construction-of-a-10-m-collecting-pit-remove-and-re-lay-300-m-of-cobblestones-construct-400-m-of-concrete-interlocking-paving-construct-drainage-system-with-inlets/,https://business.gov.uk/export-opportunities/opportunities/civil-engineering-work-demolition-of-a-10-m-collecting-pit-construction-of-a-10-m-collecting-pit-remove-and-re-lay-300-m-of-cobblestones-construct-400-m-of-concrete-interlocking-paving-construct-drainage-system-with-inlets/,/export-opportunities/opportunities/civil-engineering-work-demolition-of-a-10-m-collecting-pit-construction-of-a-10-m-collecting-pit-remove-and-re-lay-300-m-of-cobblestones-construct-400-m-of-concrete-interlocking-paving-construct-drainage-system-with-inlets/
/export-opportunities/opportunities/complete-replacement-of-the-4-elevators-of-the-bargues_115ba-group-located-at-48-rue-bargue-75015-paris-and-the-quintinie_115q5-group-located-at-13-15-rue-de-la-quintinie-75015-paris-in-macerated-shafts,https://business.gov.uk/export-opportunities/opportunities/complete-replacement-of-the-4-elevators-of-the-bargues_115ba-group-located-at-48-rue-bargue-75015-paris-and-the-quintinie_115q5-group-located-at-13-15-rue-de-la-quintinie-75015-paris-in-macerated-shafts/,/export-opportunities/opportunities/complete-replacement-of-the-4-elevators-of-the-bargues_115ba-group-located-at-48-rue-bargue-75015-paris-and-the-quintinie_115q5-group-located-at-13-15-rue-de-la-quintinie-75015-paris-in-macerated-shafts
/export-opportunities/opportunities/con0012966-engineering-consultant-services-for-hwy-2-24-8-laning-hwy-2-24-26-6-laning-hwy-2-24-26-aggregate-stockpiling-bf75335-n-1-bf75335-s-1-bf75420-w-1-bridges-replacement-bf81466-1-bridge-widening,https://business.gov.uk/export-opportunities/opportunities/con0012966-engineering-consultant-services-for-hwy-2-24-8-laning-hwy-2-24-26-6-laning-hwy-2-24-26-aggregate-stockpiling-bf75335-n-1-bf75335-s-1-bf75420-w-1-bridges-replacement-bf81466-1-bridge-widening/,/export-opportunities/opportunities/con0012966-engineering-consultant-services-for-hwy-2-24-8-laning-hwy-2-24-26-6-laning-hwy-2-24-26-aggregate-stockpiling-bf75335-n-1-bf75335-s-1-bf75420-w-1-bridges-replacement-bf81466-1-bridge-widening
/export-opportunities/opportunities/conduct-follow-up-audit-2-of-the-quality-and-environmental-management-systems-and-recertification-of-the-information-security-management-system-under-iso-9001-2015-iso-14001-2015-and-iso-27001-2013-respectively-in,https://business.gov.uk/export-opportunities/opportunities/conduct-follow-up-audit-2-of-the-quality-and-environmental-management-systems-and-recertification-of-the-information-security-management-system-under-iso-9001-2015-iso-14001-2015-and-iso-27001-2013-respectively-in/,/export-opportunities/opportunities/conduct-follow-up-audit-2-of-the-quality-and-environmental-management-systems-and-recertification-of-the-information-security-management-system-under-iso-9001-2015-iso-14001-2015-and-iso-27001-2013-respectively-in
/export-opportunities/opportunities/conduct-the-energy-audit-for-the-offices-occupied-by-the-dnp-in-the-city-of-bogota-d-c-in-compliance-with-the-guidelines-established-in-the-national-development-plan-and-other-technical-regulations-governing-energy-efficiency,https://business.gov.uk/export-opportunities/opportunities/conduct-the-energy-audit-for-the-offices-occupied-by-the-dnp-in-the-city-of-bogota-d-c-in-compliance-with-the-guidelines-established-in-the-national-development-plan-and-other-technical-regulations-governing-energy-efficiency/,/export-opportunities/opportunities/conduct-the-energy-audit-for-the-offices-occupied-by-the-dnp-in-the-city-of-bogota-d-c-in-compliance-with-the-guidelines-established-in-the-national-development-plan-and-other-technical-regulations-governing-energy-efficiency
/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-ballay-tabio-tonoman-bulalacao-tawangan-lusod-road-leadi,https://business.gov.uk/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-ballay-tabio-tonoman-bulalacao-tawangan-lusod-road-leadi/,/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-ballay-tabio-tonoman-bulalacao-tawangan-lusod-road-leadi
/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-guisset-binga-baloy-tinongdan-road-leading-to-binga-dam,https://business.gov.uk/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-guisset-binga-baloy-tinongdan-road-leading-to-binga-dam/,/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-guisset-binga-baloy-tinongdan-road-leading-to-binga-dam
/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-timbak-caves-road-leading-to-timbak-caves-and-mummy-of,https://business.gov.uk/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-timbak-caves-road-leading-to-timbak-caves-and-mummy-of/,/export-opportunities/opportunities/construction-improvement-of-access-roads-leading-to-declared-tourism-destinations-reconstruction-to-concrete-pavement-specific-location-along-timbak-caves-road-leading-to-timbak-caves-and-mummy-of
/export-opportunities/opportunities/construction-of-44-02m-1x42-68m-long-pc-girder-bridge-kendua-bridge-at-5th-km-ch-04-194-km-on-jamalpur-kalibari-sharishabari-road-z-4025-road-under-jamalpur-road-division-during-the-year-2022-2023,https://business.gov.uk/export-opportunities/opportunities/construction-of-44-02m-1x42-68m-long-pc-girder-bridge-kendua-bridge-at-5th-km-ch-04-194-km-on-jamalpur-kalibari-sharishabari-road-z-4025-road-under-jamalpur-road-division-during-the-year-2022-2023/,/export-opportunities/opportunities/construction-of-44-02m-1x42-68m-long-pc-girder-bridge-kendua-bridge-at-5th-km-ch-04-194-km-on-jamalpur-kalibari-sharishabari-road-z-4025-road-under-jamalpur-road-division-during-the-year-2022-2023
/export-opportunities/opportunities/construction-of-6-vent-regulator-vent-size-1-50-m-x-1-80-m-over-chatla-khal-at-boyer-char-in-hatiya-upazila-of-noakhali-district-in-c-w-char-development-and-settlement-project-bridging-additional-financing-bwdb-part-1st-revised-under-no,https://business.gov.uk/export-opportunities/opportunities/construction-of-6-vent-regulator-vent-size-1-50-m-x-1-80-m-over-chatla-khal-at-boyer-char-in-hatiya-upazila-of-noakhali-district-in-c-w-char-development-and-settlement-project-bridging-additional-financing-bwdb-part-1st-revised-under-no/,/export-opportunities/opportunities/construction-of-6-vent-regulator-vent-size-1-50-m-x-1-80-m-over-chatla-khal-at-boyer-char-in-hatiya-upazila-of-noakhali-district-in-c-w-char-development-and-settlement-project-bridging-additional-financing-bwdb-part-1st-revised-under-no
/export-opportunities/opportunities/construction-of-computerized-electronic-toll-plaza-at-kalni-bridge-59th-km-of-madanpur-dirai-shulla-jalsuka-ajmiriganj-habiganj-road-under-habiganj-road-division-of-road-zone-sylhet-during-the-year-2023-2024-package-no-wd-08,https://business.gov.uk/export-opportunities/opportunities/construction-of-computerized-electronic-toll-plaza-at-kalni-bridge-59th-km-of-madanpur-dirai-shulla-jalsuka-ajmiriganj-habiganj-road-under-habiganj-road-division-of-road-zone-sylhet-during-the-year-2023-2024-package-no-wd-08/,/export-opportunities/opportunities/construction-of-computerized-electronic-toll-plaza-at-kalni-bridge-59th-km-of-madanpur-dirai-shulla-jalsuka-ajmiriganj-habiganj-road-under-habiganj-road-division-of-road-zone-sylhet-during-the-year-2023-2024-package-no-wd-08
/export-opportunities/opportunities/construction-of-model-mosque-and-islamic-cultural-center-at-shayestaganj-upazilla-of-habiganj-district-three-storied-building-with-three-storied-foundation-b-type-sub-head-main-building-civil-works,https://business.gov.uk/export-opportunities/opportunities/construction-of-model-mosque-and-islamic-cultural-center-at-shayestaganj-upazilla-of-habiganj-district-three-storied-building-with-three-storied-foundation-b-type-sub-head-main-building-civil-works/,/export-opportunities/opportunities/construction-of-model-mosque-and-islamic-cultural-center-at-shayestaganj-upazilla-of-habiganj-district-three-storied-building-with-three-storied-foundation-b-type-sub-head-main-building-civil-works
/export-opportunities/opportunities/construction-of-sirajdikhan-upazila-model-mosque-and-islamic-cultural-center-3-storied-building-with-3-storied-foundation-at-munshiganj-sub-head-construction-of-boundary-wall-and-other-ancillary-works-under-establishing-560-model-mosques-an,https://business.gov.uk/export-opportunities/opportunities/construction-of-sirajdikhan-upazila-model-mosque-and-islamic-cultural-center-3-storied-building-with-3-storied-foundation-at-munshiganj-sub-head-construction-of-boundary-wall-and-other-ancillary-works-under-establishing-560-model-mosques-an/,/export-opportunities/opportunities/construction-of-sirajdikhan-upazila-model-mosque-and-islamic-cultural-center-3-storied-building-with-3-storied-foundation-at-munshiganj-sub-head-construction-of-boundary-wall-and-other-ancillary-works-under-establishing-560-model-mosques-an
/export-opportunities/opportunities/contract-for-the-provision-of-professional-services-for-the-updating-implementation-and-evaluation-of-the-occupational-health-and-safety-management-system-according-to-decree-1072-15-and-resolution-312-of-2019-for-the-e-s-e-san-jose-del-munic,https://business.gov.uk/export-opportunities/opportunities/contract-for-the-provision-of-professional-services-for-the-updating-implementation-and-evaluation-of-the-occupational-health-and-safety-management-system-according-to-decree-1072-15-and-resolution-312-of-2019-for-the-e-s-e-san-jose-del-munic/,/export-opportunities/opportunities/contract-for-the-provision-of-professional-services-for-the-updating-implementation-and-evaluation-of-the-occupational-health-and-safety-management-system-according-to-decree-1072-15-and-resolution-312-of-2019-for-the-e-s-e-san-jose-del-munic
/export-opportunities/opportunities/cooperation-agreement-on-the-roll-out-of-nga-broadband-networks-in-the-municipality-of-schonefeld-parts-of-the-municipality-of-schonefeld-still-have-inadequate-or-no-nationwide-coverage-with-next-generation-broadband-internet-ng,https://business.gov.uk/export-opportunities/opportunities/cooperation-agreement-on-the-roll-out-of-nga-broadband-networks-in-the-municipality-of-schonefeld-parts-of-the-municipality-of-schonefeld-still-have-inadequate-or-no-nationwide-coverage-with-next-generation-broadband-internet-ng/,/export-opportunities/opportunities/cooperation-agreement-on-the-roll-out-of-nga-broadband-networks-in-the-municipality-of-schonefeld-parts-of-the-municipality-of-schonefeld-still-have-inadequate-or-no-nationwide-coverage-with-next-generation-broadband-internet-ng
/export-opportunities/opportunities/cv-market-survey-through-sintel-platform-aimed-at-a-possible-direct-award-for-the-two-year-supply-of-disposable-inserts-blades-for-osteotomy-and-osteoplasty-with-ultrasonic-scalpel-type-piezo-electric-or-functional,https://business.gov.uk/export-opportunities/opportunities/cv-market-survey-through-sintel-platform-aimed-at-a-possible-direct-award-for-the-two-year-supply-of-disposable-inserts-blades-for-osteotomy-and-osteoplasty-with-ultrasonic-scalpel-type-piezo-electric-or-functional/,/export-opportunities/opportunities/cv-market-survey-through-sintel-platform-aimed-at-a-possible-direct-award-for-the-two-year-supply-of-disposable-inserts-blades-for-osteotomy-and-osteoplasty-with-ultrasonic-scalpel-type-piezo-electric-or-functional
/export-opportunities/opportunities/daca675240002900-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-2-700-gross-square-feet-of-retail-space-in-moses-lake-wa-for-an-armed-forces-career-center-military-recruiting-office,https://business.gov.uk/export-opportunities/opportunities/daca675240002900-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-2-700-gross-square-feet-of-retail-space-in-moses-lake-wa-for-an-armed-forces-career-center-military-recruiting-office/,/export-opportunities/opportunities/daca675240002900-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-2-700-gross-square-feet-of-retail-space-in-moses-lake-wa-for-an-armed-forces-career-center-military-recruiting-office
/export-opportunities/opportunities/daca675250000400-the-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-4-316-gross-square-feet-of-retail-space-in-nampa-idaho-for-an-armed-forces-career-center-military-recruiting-office,https://business.gov.uk/export-opportunities/opportunities/daca675250000400-the-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-4-316-gross-square-feet-of-retail-space-in-nampa-idaho-for-an-armed-forces-career-center-military-recruiting-office/,/export-opportunities/opportunities/daca675250000400-the-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-4-316-gross-square-feet-of-retail-space-in-nampa-idaho-for-an-armed-forces-career-center-military-recruiting-office
/export-opportunities/opportunities/daca675250001100-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-3-935-gross-square-feet-of-retail-space-in-lynnwood-wa-for-an-armed-forces-career-center-military-recruiting-office,https://business.gov.uk/export-opportunities/opportunities/daca675250001100-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-3-935-gross-square-feet-of-retail-space-in-lynnwood-wa-for-an-armed-forces-career-center-military-recruiting-office/,/export-opportunities/opportunities/daca675250001100-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-3-935-gross-square-feet-of-retail-space-in-lynnwood-wa-for-an-armed-forces-career-center-military-recruiting-office
/export-opportunities/opportunities/dacw675240024000-usace-seeks-to-lease-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-9-000-gross-square-feet-of-office-and-warehouse-space-space-in-aberdeen-wa-for-usace-navigation,https://business.gov.uk/export-opportunities/opportunities/dacw675240024000-usace-seeks-to-lease-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-9-000-gross-square-feet-of-office-and-warehouse-space-space-in-aberdeen-wa-for-usace-navigation/,/export-opportunities/opportunities/dacw675240024000-usace-seeks-to-lease-united-states-army-corps-of-engineers-usace-seeks-to-lease-approximately-9-000-gross-square-feet-of-office-and-warehouse-space-space-in-aberdeen-wa-for-usace-navigation
/export-opportunities/opportunities/delegation-de-service-public-du-depannage-et-remorquage-et-depannage-des-pneumatics-des-vehicules-lourds-sur-la-rn-145-les-aires-de-repos-services-et-les-bretelles-dans-les-departements-de-la-creuse-et-de-l-allier/,https://business.gov.uk/export-opportunities/opportunities/delegation-de-service-public-du-depannage-et-remorquage-et-depannage-des-pneumatics-des-vehicules-lourds-sur-la-rn-145-les-aires-de-repos-services-et-les-bretelles-dans-les-departements-de-la-creuse-et-de-l-allier/,/export-opportunities/opportunities/delegation-de-service-public-du-depannage-et-remorquage-et-depannage-des-pneumatics-des-vehicules-lourds-sur-la-rn-145-les-aires-de-repos-services-et-les-bretelles-dans-les-departements-de-la-creuse-et-de-l-allier/
/export-opportunities/opportunities/delegation-de-service-public-pour-l-exploitation-des-services-de-mobilites-de-la-communaute-d-agglomeration-du-grand-chalon-public-service-delegation-for-the-operation-of-mobility-services-for-the-greater-chalon-conurbation,https://business.gov.uk/export-opportunities/opportunities/delegation-de-service-public-pour-l-exploitation-des-services-de-mobilites-de-la-communaute-d-agglomeration-du-grand-chalon-public-service-delegation-for-the-operation-of-mobility-services-for-the-greater-chalon-conurbation/,/export-opportunities/opportunities/delegation-de-service-public-pour-l-exploitation-des-services-de-mobilites-de-la-communaute-d-agglomeration-du-grand-chalon-public-service-delegation-for-the-operation-of-mobility-services-for-the-greater-chalon-conurbation
/export-opportunities/opportunities/design-production-and-installation-of-an-artistic-work-as-part-of-the-public-buildings-decoration-obligation-1-artistic-as-part-of-the-construction-of-the-eco-campus-for-the-economics-and-management-faculty-on-the/,https://business.gov.uk/export-opportunities/opportunities/design-production-and-installation-of-an-artistic-work-as-part-of-the-public-buildings-decoration-obligation-1-artistic-as-part-of-the-construction-of-the-eco-campus-for-the-economics-and-management-faculty-on-the/,/export-opportunities/opportunities/design-production-and-installation-of-an-artistic-work-as-part-of-the-public-buildings-decoration-obligation-1-artistic-as-part-of-the-construction-of-the-eco-campus-for-the-economics-and-management-faculty-on-the/
/export-opportunities/opportunities/development-of-existing-7-nos-textile-vocational-institute-and-establishment-of-new-6-nos-textile-vocational-institute-2nd-revised-project-sub-head-construction-of-4-storied-academic-cum-administrative-building-with-6-storied-foundation-incl-93499,https://business.gov.uk/export-opportunities/opportunities/development-of-existing-7-nos-textile-vocational-institute-and-establishment-of-new-6-nos-textile-vocational-institute-2nd-revised-project-sub-head-construction-of-4-storied-academic-cum-administrative-building-with-6-storied-foundation-incl-93499/,/export-opportunities/opportunities/development-of-existing-7-nos-textile-vocational-institute-and-establishment-of-new-6-nos-textile-vocational-institute-2nd-revised-project-sub-head-construction-of-4-storied-academic-cum-administrative-building-with-6-storied-foundation-incl-93499
/export-opportunities/opportunities/development-of-existing-7-nos-textile-vocational-institute-and-establishment-of-new-6-nos-textile-vocational-institute-2nd-revised-project-sub-head-construction-of-4-storied-academic-cum-administrative-building-with-6-storied-foundation-incl,https://business.gov.uk/export-opportunities/opportunities/development-of-existing-7-nos-textile-vocational-institute-and-establishment-of-new-6-nos-textile-vocational-institute-2nd-revised-project-sub-head-construction-of-4-storied-academic-cum-administrative-building-with-6-storied-foundation-incl/,/export-opportunities/opportunities/development-of-existing-7-nos-textile-vocational-institute-and-establishment-of-new-6-nos-textile-vocational-institute-2nd-revised-project-sub-head-construction-of-4-storied-academic-cum-administrative-building-with-6-storied-foundation-incl
/export-opportunities/opportunities/director-of-two-2-graduate-studies-monographs-submitted-by-engineers-diana-marcela-castillo-blanco-code-2228486-and-eices-milena-calle-tafur-code-2228497-students-of-the-specialization-in-gas-engineering-xvii-cohorte-course,https://business.gov.uk/export-opportunities/opportunities/director-of-two-2-graduate-studies-monographs-submitted-by-engineers-diana-marcela-castillo-blanco-code-2228486-and-eices-milena-calle-tafur-code-2228497-students-of-the-specialization-in-gas-engineering-xvii-cohorte-course/,/export-opportunities/opportunities/director-of-two-2-graduate-studies-monographs-submitted-by-engineers-diana-marcela-castillo-blanco-code-2228486-and-eices-milena-calle-tafur-code-2228497-students-of-the-specialization-in-gas-engineering-xvii-cohorte-course
/export-opportunities/opportunities/disn-virtual-private-network-vpn-service-at-100-mb-from-bldg-3825-rm-1-fl-1-3825-edith-blvd-albuquerque-nm-albuquerque-nm-87107-to-bldg-20449-room-100-2051-wyoming-blvd-southeast-kirtland-afb-nm-87117,https://business.gov.uk/export-opportunities/opportunities/disn-virtual-private-network-vpn-service-at-100-mb-from-bldg-3825-rm-1-fl-1-3825-edith-blvd-albuquerque-nm-albuquerque-nm-87107-to-bldg-20449-room-100-2051-wyoming-blvd-southeast-kirtland-afb-nm-87117/,/export-opportunities/opportunities/disn-virtual-private-network-vpn-service-at-100-mb-from-bldg-3825-rm-1-fl-1-3825-edith-blvd-albuquerque-nm-albuquerque-nm-87107-to-bldg-20449-room-100-2051-wyoming-blvd-southeast-kirtland-afb-nm-87117
/export-opportunities/opportunities/due-to-the-floods-in-2021-several-roads-and-service-roads-in-bornheim-and-the-surrounding-villages-need-to-be-renovated-and-renewed-including-kitzburger-strasse-lethenbergweg-keimerstrasse-part-of-wirtsch,https://business.gov.uk/export-opportunities/opportunities/due-to-the-floods-in-2021-several-roads-and-service-roads-in-bornheim-and-the-surrounding-villages-need-to-be-renovated-and-renewed-including-kitzburger-strasse-lethenbergweg-keimerstrasse-part-of-wirtsch/,/export-opportunities/opportunities/due-to-the-floods-in-2021-several-roads-and-service-roads-in-bornheim-and-the-surrounding-villages-need-to-be-renovated-and-renewed-including-kitzburger-strasse-lethenbergweg-keimerstrasse-part-of-wirtsch
/export-opportunities/opportunities/dynamic-purchasing-system-for-the-supply-of-spare-parts-for-man-d0846-engines-or-equivalent-intended-for-the-sy-x301-x303-x304-and-x306-railcars-of-the-regie-regionale-des-transports-provence-alpes-cote-d-azur/,https://business.gov.uk/export-opportunities/opportunities/dynamic-purchasing-system-for-the-supply-of-spare-parts-for-man-d0846-engines-or-equivalent-intended-for-the-sy-x301-x303-x304-and-x306-railcars-of-the-regie-regionale-des-transports-provence-alpes-cote-d-azur/,/export-opportunities/opportunities/dynamic-purchasing-system-for-the-supply-of-spare-parts-for-man-d0846-engines-or-equivalent-intended-for-the-sy-x301-x303-x304-and-x306-railcars-of-the-regie-regionale-des-transports-provence-alpes-cote-d-azur/
/export-opportunities/opportunities/dynamic-system-of-acquisition-sda-pursuant-to-art-55-of-legislative-decree-50-2016-for-the-supply-of-products-and-hygienic-sanitary-material-anticovid-garrisons-for-non-healthcare-entities-of-the-lombardy-region/,https://business.gov.uk/export-opportunities/opportunities/dynamic-system-of-acquisition-sda-pursuant-to-art-55-of-legislative-decree-50-2016-for-the-supply-of-products-and-hygienic-sanitary-material-anticovid-garrisons-for-non-healthcare-entities-of-the-lombardy-region/,/export-opportunities/opportunities/dynamic-system-of-acquisition-sda-pursuant-to-art-55-of-legislative-decree-50-2016-for-the-supply-of-products-and-hygienic-sanitary-material-anticovid-garrisons-for-non-healthcare-entities-of-the-lombardy-region/
/export-opportunities/opportunities/electrical-work-lightingthe-cable-laying-in-the-cable-trench-provided-by-the-customer-is-to-be-carried-out-by-the-specialist-electrical-company-commissioned-here-due-to-the-small-scale-civil-engineering-measure-the-cable-laying-can-only-be-85518,https://business.gov.uk/export-opportunities/opportunities/electrical-work-lightingthe-cable-laying-in-the-cable-trench-provided-by-the-customer-is-to-be-carried-out-by-the-specialist-electrical-company-commissioned-here-due-to-the-small-scale-civil-engineering-measure-the-cable-laying-can-only-be-85518/,/export-opportunities/opportunities/electrical-work-lightingthe-cable-laying-in-the-cable-trench-provided-by-the-customer-is-to-be-carried-out-by-the-specialist-electrical-company-commissioned-here-due-to-the-small-scale-civil-engineering-measure-the-cable-laying-can-only-be-85518
/export-opportunities/opportunities/electricity-for-use-at-gunma-comprehensive-prefectural-education-center-and-other-7-gunma-prefectural-social-education-facilities-amount-of-electric-power-scheduled-for-annual-use-2-481-000-kwh-year/,https://business.gov.uk/export-opportunities/opportunities/electricity-for-use-at-gunma-comprehensive-prefectural-education-center-and-other-7-gunma-prefectural-social-education-facilities-amount-of-electric-power-scheduled-for-annual-use-2-481-000-kwh-year/,/export-opportunities/opportunities/electricity-for-use-at-gunma-comprehensive-prefectural-education-center-and-other-7-gunma-prefectural-social-education-facilities-amount-of-electric-power-scheduled-for-annual-use-2-481-000-kwh-year/
/export-opportunities/opportunities/electricity-for-use-at-shibukawa-health-and-welfare-office-and-8-others-and-gunma-prefectural-institute-of-public-health-and-environmental-sciences-amount-of-electric-power-scheduled-for-annual-use-shibukawa-health-and-welfare-office-and-8-othe/,https://business.gov.uk/export-opportunities/opportunities/electricity-for-use-at-shibukawa-health-and-welfare-office-and-8-others-and-gunma-prefectural-institute-of-public-health-and-environmental-sciences-amount-of-electric-power-scheduled-for-annual-use-shibukawa-health-and-welfare-office-and-8-othe/,/export-opportunities/opportunities/electricity-for-use-at-shibukawa-health-and-welfare-office-and-8-others-and-gunma-prefectural-institute-of-public-health-and-environmental-sciences-amount-of-electric-power-scheduled-for-annual-use-shibukawa-health-and-welfare-office-and-8-othe/
/export-opportunities/opportunities/electricity-for-use-at-the-museum-of-modern-art-gunma-and-gunma-museum-of-art-tatebayashi-and-museum-of-literature-in-commemoration-of-bunmei-tsuchiya-amount-of-electric-power-scheduled-for-annual-use-4-254-000-kwh-year/,https://business.gov.uk/export-opportunities/opportunities/electricity-for-use-at-the-museum-of-modern-art-gunma-and-gunma-museum-of-art-tatebayashi-and-museum-of-literature-in-commemoration-of-bunmei-tsuchiya-amount-of-electric-power-scheduled-for-annual-use-4-254-000-kwh-year/,/export-opportunities/opportunities/electricity-for-use-at-the-museum-of-modern-art-gunma-and-gunma-museum-of-art-tatebayashi-and-museum-of-literature-in-commemoration-of-bunmei-tsuchiya-amount-of-electric-power-scheduled-for-annual-use-4-254-000-kwh-year/
